"V1";"V2";"V3";"V4";"V5"
"118";"T_015_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-02-12T10:32:00Z"
"119";"Rain_015";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-02-12T10:32:00Z"
"120";"WS_015_Mean";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-02-12T10:32:00Z"
"121";"T_102_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-02-12T10:32:00Z"
"122";"WD_015_StdDev";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-02-12T10:32:00Z"
"123";"T_202_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-02-12T10:32:00Z"
"124";"U_002_Min";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-02-12T10:32:00Z"
"125";"GHI_005_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-02-12T10:32:00Z"
"126";"T_302_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-02-12T10:32:00Z"
"127";"WD_015_MeanUnitVector";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-02-12T10:32:00Z"
"128";"UV_030_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-02-12T10:32:00Z"
"129";"WSm_015_Max";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-02-12T10:32:00Z"
"130";"I_302_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-02-12T10:32:00Z"
"131";"FGnum_Avg";"1465986423";"Moufia Bois de Nefles";"2012-10-11T10:33:00Z";"2018-01-03T14:29:00Z"
"132";"FG_Avg";"1465986423";"Moufia Bois de Nefles";"2012-10-11T10:31:00Z";"2018-01-03T14:29:00Z"
"133";"WD_StdDev";"1465986423";"Moufia Bois de Nefles";"2012-10-11T10:31:00Z";"2018-01-03T14:29:00Z"
"134";"battVolt_Avg";"1465986423";"Moufia Bois de Nefles";"2012-10-11T10:31:00Z";"2018-01-03T14:29:00Z"
"135";"WS_Mean";"1465986423";"Moufia Bois de Nefles";"2012-10-11T10:31:00Z";"2018-01-03T14:29:00Z"
