"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8"
"125";"U_102_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-03-11T02:32:00Z";"-19.757625";"63.37075";"36"
"126";"T_015_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-03-11T02:32:00Z";"-19.757625";"63.37075";"36"
"127";"U_002_Min";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-03-11T02:32:00Z";"-19.757625";"63.37075";"36"
"128";"I_102_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-03-11T02:32:00Z";"-19.757625";"63.37075";"36"
"129";"T_202_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-03-11T02:32:00Z";"-19.757625";"63.37075";"36"
"130";"ClearSkyCoeff_Calc";"1494480630";"0";"2017-07-25T07:00:00Z";"2018-03-10T17:59:00Z";"0";"0";"0"
"131";"FGnum_Avg";"1465986423";"Moufia Bois de Nefles";"2012-10-11T10:33:00Z";"2018-01-03T14:29:00Z";"-20.91731";"55.476445";"0"
"132";"FG_Avg";"1465986423";"Moufia Bois de Nefles";"2012-10-11T10:31:00Z";"2018-01-03T14:29:00Z";"-20.91731";"55.476445";"0"
"133";"WD_StdDev";"1465986423";"Moufia Bois de Nefles";"2012-10-11T10:31:00Z";"2018-01-03T14:29:00Z";"-20.91731";"55.476445";"0"
"134";"battVolt_Avg";"1465986423";"Moufia Bois de Nefles";"2012-10-11T10:31:00Z";"2018-01-03T14:29:00Z";"-20.91731";"55.476445";"0"
"135";"WS_Mean";"1465986423";"Moufia Bois de Nefles";"2012-10-11T10:31:00Z";"2018-01-03T14:29:00Z";"-20.91731";"55.476445";"0"
"136";"Patm_Avg";"1465986423";"Moufia Bois de Nefles";"2012-10-11T10:31:00Z";"2018-01-03T14:29:00Z";"-20.91731";"55.476445";"0"
"137";"WD_MeanUnitVector";"1465986423";"Moufia Bois de Nefles";"2012-10-11T10:31:00Z";"2018-01-03T14:29:00Z";"-20.91731";"55.476445";"0"
"138";"Tenc_Avg";"1465986423";"Moufia Bois de Nefles";"2012-10-11T10:31:00Z";"2018-01-03T14:29:00Z";"-20.91731";"55.476445";"0"
