POSTE;DATE;T;FF2;DD2;U;GLO
97413545;2011011512;;;;;
97413545;2011011513;;;;;
97413545;2011011514;;;;;
97413545;2011011515;;;;;
97413545;2011011516;;;;;
97413545;2011011517;;;;;
97413545;2011011518;;;;;
97413545;2011011519;;;;;
97413545;2011011520;;;;;
97413545;2011011521;;;;;
97413545;2011011522;;;;;
97413545;2011011523;;;;;
97413545;2011011600;;;;;
97413545;2011011601;;;;;
97413545;2011011602;;;;;
97413545;2011011603;;;;;
97413545;2011011604;;;;;
97413545;2011011605;;;;;
97413545;2011011606;;;;;
97413545;2011011607;;;;;
97413545;2011011608;;;;;
97413545;2011011609;;;;;
97413545;2011011610;;;;;
97413545;2011011611;;;;;
97413545;2011011612;;;;;
97413545;2011011613;;;;;
97413545;2011011614;;;;;
97413545;2011011615;;;;;
97413545;2011011616;;;;;
97413545;2011011617;;;;;
97413545;2011011618;;;;;
97413545;2011011619;;;;;
97413545;2011011620;;;;;
97413545;2011011621;;;;;
97413545;2011011622;;;;;
97413545;2011011623;;;;;
97413545;2011011700;;;;;
97413545;2011011701;;;;;
97413545;2011011702;;;;;
97413545;2011011703;;;;;
97413545;2011011704;;;;;
97413545;2011011705;;;;;
97413545;2011011706;;;;;
97413545;2011011707;;;;;
97413545;2011011708;;;;;
97413545;2011011709;;;;;
97413545;2011011710;;;;;
97413545;2011011711;;;;;
97413545;2011011712;;;;;
97413545;2011011713;;;;;
97413545;2011011714;;;;;
97413545;2011011715;;;;;
97413545;2011011716;;;;;
97413545;2011011717;;;;;
97413545;2011011718;;;;;
97413545;2011011719;;;;;
97413545;2011011720;;;;;
97413545;2011011721;;;;;
97413545;2011011722;;;;;
97413545;2011011723;;;;;
97413545;2011011800;;;;;
97413545;2011011801;;;;;
97413545;2011011802;;;;;
97413545;2011011803;;;;;
97413545;2011011804;;;;;
97413545;2011011805;;;;;
97413545;2011011806;;;;;
97413545;2011011807;;;;;
97413545;2011011808;;;;;
97413545;2011011809;;;;;
97413545;2011011810;;;;;
97413545;2011011811;;;;;
97413545;2011011812;;;;;
97413545;2011011813;;;;;
97413545;2011011814;;;;;
97413545;2011011815;;;;;
97413545;2011011816;;;;;
97413545;2011011817;;;;;
97413545;2011011818;;;;;
97413545;2011011819;;;;;
97413545;2011011820;;;;;
97413545;2011011821;;;;;
97413545;2011011822;;;;;
97413545;2011011823;;;;;
97413545;2011011900;;;;;
97413545;2011011901;;;;;
97413545;2011011902;;;;;
97413545;2011011903;;;;;
97413545;2011011904;;;;;
97413545;2011011905;;;;;
97413545;2011011906;;;;;
97413545;2011011907;;;;;
97413545;2011011908;;;;;
97413545;2011011909;;;;;
97413545;2011011910;;;;;
97413545;2011011911;;;;;
97413545;2011011912;;;;;
97413545;2011011913;;;;;
97413545;2011011914;;;;;
97413545;2011011915;;;;;
97413545;2011011916;;;;;
97413545;2011011917;;;;;
97413545;2011011918;;;;;
97413545;2011011919;;;;;
97413545;2011011920;;;;;
97413545;2011011921;;;;;
97413545;2011011922;;;;;
97413545;2011011923;;;;;
97413545;2011012000;;;;;
97413545;2011012001;;;;;
97413545;2011012002;;;;;
97413545;2011012003;;;;;
97413545;2011012004;;;;;
97413545;2011012005;;;;;
97413545;2011012006;;;;;
97413545;2011012007;;;;;
97413545;2011012008;;;;;
97413545;2011012009;;;;;
97413545;2011012010;;;;;
97413545;2011012011;;;;;
97413545;2011012012;;;;;
97413545;2011012013;;;;;
97413545;2011012014;;;;;
97413545;2011012015;;;;;
97413545;2011012016;;;;;
97413545;2011012017;;;;;
97413545;2011012018;;;;;
97413545;2011012019;;;;;
97413545;2011012020;;;;;
97413545;2011012021;;;;;
97413545;2011012022;;;;;
97413545;2011012023;;;;;
97413545;2011012100;;;;;
97413545;2011012101;;;;;
97413545;2011012102;;;;;
97413545;2011012103;;;;;
97413545;2011012104;;;;;
97413545;2011012105;;;;;
97413545;2011012106;;;;;
97413545;2011012107;;;;;
97413545;2011012108;;;;;
97413545;2011012109;;;;;
97413545;2011012110;;;;;
97413545;2011012111;;;;;
97413545;2011012112;;;;;
97413545;2011012113;;;;;
97413545;2011012114;;;;;
97413545;2011012115;;;;;
97413545;2011012116;;;;;
97413545;2011012117;;;;;
97413545;2011012118;;;;;
97413545;2011012119;;;;;
97413545;2011012120;;;;;
97413545;2011012121;;;;;
97413545;2011012122;;;;;
97413545;2011012123;;;;;
97413545;2011012200;;;;;
97413545;2011012201;;;;;
97413545;2011012202;;;;;
97413545;2011012203;;;;;
97413545;2011012204;;;;;
97413545;2011012205;;;;;
97413545;2011012206;;;;;
97413545;2011012207;;;;;
97413545;2011012208;;;;;
97413545;2011012209;;;;;
97413545;2011012210;;;;;
97413545;2011012211;;;;;
97413545;2011012212;;;;;
97413545;2011012213;;;;;
97413545;2011012214;;;;;
97413545;2011012215;;;;;
97413545;2011012216;;;;;
97413545;2011012217;;;;;
97413545;2011012218;;;;;
97413545;2011012219;;;;;
97413545;2011012220;;;;;
97413545;2011012221;;;;;
97413545;2011012222;;;;;
97413545;2011012223;;;;;
97413545;2011012300;;;;;
97413545;2011012301;;;;;
97413545;2011012302;;;;;
97413545;2011012303;;;;;
97413545;2011012304;;;;;
97413545;2011012305;;;;;
97413545;2011012306;;;;;
97413545;2011012307;;;;;
97413545;2011012308;;;;;
97413545;2011012309;;;;;
97413545;2011012310;;;;;
97413545;2011012311;;;;;
97413545;2011012312;;;;;
97413545;2011012313;;;;;
97413545;2011012314;;;;;
97413545;2011012315;;;;;
97413545;2011012316;;;;;
97413545;2011012317;;;;;
